,long,lat,City,Country,Date,Cloudiness,Humidity,Max Temp,Wind Speed
260,-157.19838732088425,52.19342279976476,kodiak,us,1600201720,90,87,55.4,14.99
263,29.724065547291843,49.79717938027923,skvyra,ua,1600201720,0,78,62.19,5.08
265,168.2342908519388,82.95370095084218,pevek,ru,1600201720,96,86,41.36,4.12
269,55.50302094619215,24.6741714330568,dubai,ae,1600201574,0,26,93.2,1.12
271,140.27727756193224,-28.844983153313237,broken hill,au,1600201721,1,43,51.8,6.93
272,116.91980645640109,0.1634097022677139,bontang,id,1600201721,100,83,76.26,7.05
279,-15.754057130568526,31.910472457225225,porto santo,pt,1600201722,20,73,73.4,5.82
281,100.37613057317265,56.494861185384735,chunskiy,ru,1600201722,37,90,42.91,2.55
283,-94.73378991449196,-50.42542652088206,castro,cl,1600201344,65,60,69.73,7.56
285,-2.0321577614278397,36.67013616180732,nijar,es,1600201612,20,78,77.0,4.85
287,79.83850146549497,40.494043719141956,aksu,cn,1600201722,18,33,66.81,7.43
291,50.53022647528351,-9.902433604063376,ambilobe,mg,1600201723,98,68,73.15,7.34
293,14.268842189556835,-15.495930491256118,lubango,ao,1600201723,0,40,61.3,5.7
295,28.870695636212957,44.26352754204365,constanta,ro,1600201723,5,73,71.6,9.17
297,12.058820887230524,-19.076984067184085,opuwo,na,1600201723,0,35,58.64,5.26
298,-148.49423326178172,65.171662198702,college,us,1600201119,90,71,54.0,3.29
300,154.45909161401238,57.481621989526786,sobolevo,ru,1600201724,21,95,56.43,6.08
301,-131.42168526779116,50.3909784790695,port hardy,ca,1600201724,90,72,66.2,14.99
303,-72.25264214832715,24.29686135277612,cockburn town,bs,1600201633,40,70,86.0,9.17
304,127.00315652229068,-29.773651456440938,yulara,au,1600201724,75,36,64.4,6.93
308,-119.0203183008033,48.96738918963774,osoyoos,ca,1600201724,90,36,77.0,4.7
309,-100.68316548083776,39.831949082208865,north platte,us,1600201725,1,33,86.0,12.75
310,76.43644921639054,61.75685628229658,novoagansk,ru,1600201725,4,86,49.95,9.69
312,31.003722020278246,61.16106407305625,lyaskelya,ru,1600201725,17,87,45.5,3.38
314,-79.91949229479347,-11.43804204576736,paramonga,pe,1600201725,40,72,65.17,9.95
315,64.88904185751463,24.728180204476573,ormara,pk,1600201725,100,80,82.83,9.26
318,122.75813884319672,7.286100722744138,olutanga,ph,1600201726,100,83,80.42,17.25
321,28.017510772799994,23.507772969848247,tahta,eg,1600201726,0,28,84.2,6.93
322,36.634972522546576,4.004130488986249,lodwar,ke,1600201726,65,29,90.86,16.98
323,80.67385183683479,-15.544852165551035,hithadhoo,mv,1600201345,81,71,81.34,6.42
325,-145.82185523894177,61.66067643060126,palmer,us,1600201727,90,37,66.2,3.36
326,-34.53620169189466,18.415121195691682,ponta do sol,cv,1600201727,40,78,73.4,4.7
328,-126.58660831690185,36.4561320438586,pacifica,us,1600201713,20,56,72.0,12.75
337,80.13117896958761,59.17596394007012,kargasok,ru,1600201727,9,90,47.16,10.09
338,-27.137934907121604,66.17031643647925,olafsvik,is,1600201727,100,68,43.79,4.59
339,-167.82956393253568,60.05311657925293,nome,us,1600201728,90,93,48.2,24.16
340,-53.660733484236886,1.8389509143231777,camopi,gf,1600201728,74,54,88.5,2.66
341,-75.96738326776676,-10.53467148445472,cerro de pasco,pe,1600201728,91,66,48.25,8.34
342,-80.49130360275628,38.35564050041549,beckley,us,1600201638,1,72,78.8,5.82
343,4.7002872322193525,4.247553598311882,warri,ng,1600201728,100,89,76.23,6.35
350,-75.58396619800205,42.12763327761934,binghamton,us,1600201658,20,38,68.0,4.7
351,-176.2560443931718,45.73982003833433,provideniya,ru,1600201729,90,87,46.4,11.18
352,146.98494206547258,36.61026717716574,kamaishi,jp,1600201729,91,83,65.48,2.91
353,-2.9900474714760605,9.751449958673149,batie,bf,1600201729,23,88,76.19,4.85
355,-65.91995088695472,-49.92780185970756,rio gallegos,ar,1600201729,40,33,44.6,26.4
357,-91.97394307892569,41.55261292302308,coralville,us,1600201730,1,39,82.4,10.29
358,55.71002994659091,-86.33784082395515,port alfred,za,1600201336,100,75,60.1,14.29
359,46.28990212236465,-16.636674909322068,marovoay,mg,1600201730,20,83,71.6,2.24
361,97.14467245940546,62.96050681019804,baykit,ru,1600201730,99,85,47.64,2.46
362,-151.3130743156755,-4.5300491226380615,faanui,pf,1600201731,0,76,77.76,15.59
363,122.72923803332071,-12.687327354857644,kupang,id,1600201700,66,82,72.45,8.01
364,-155.4560038018957,-28.8219196689721,avera,pf,1600201731,90,69,78.8,10.29
365,-23.534141493568995,43.46897871618748,praia da vitoria,pt,1600201731,40,64,68.0,18.63
366,97.10097952414901,14.152033444454219,dawei,mm,1600201731,41,89,76.89,2.37
368,76.28896722951555,17.22902082645264,afzalpur,in,1600201732,100,88,75.51,10.98
369,-45.02779307600872,22.073563931951313,bathsheba,bb,1600201732,40,70,87.8,16.11
372,-21.89070459229214,20.56180167347985,santa maria,cv,1600201551,75,71,57.2,12.75
381,-25.40673525760235,52.131563615861694,grindavik,is,1600201334,75,75,42.8,5.82
382,6.578781145204687,48.951679131816974,saint-avold,fr,1600201437,0,80,71.01,2.53
384,68.57937616730925,40.899250250585396,ilyich,kz,1600201733,0,29,64.08,0.6
385,133.6837689420356,-49.85842065437103,mount gambier,au,1600201733,100,93,46.4,11.41
390,1.5528406512254094,-40.19328927284526,saldanha,za,1600201734,0,70,48.2,1.12
393,95.5848813480984,-17.264338491395677,labuhan,id,1600201734,1,77,76.55,8.32
395,-115.81155768092654,38.991746451571316,elko,us,1600201734,1,11,86.0,9.17
398,-110.59694720132721,35.370411159419746,winslow,us,1600201475,1,13,86.0,3.36
399,46.72142970180943,67.06518232864798,leshukonskoye,ru,1600201734,96,92,44.38,9.78
401,115.04281653751417,20.397852447099623,shenzhen,cn,1600201657,2,99,82.0,7.29
403,-17.834818837195627,65.16131768662831,akureyri,is,1600201735,75,75,46.4,2.24
405,-77.50645587639764,48.693730077447896,barraute,ca,1600201735,90,87,46.99,12.75
406,-18.222271940415226,22.507567772897218,nouadhibou,mr,1600201735,0,75,77.16,14.09
410,56.22226547419402,4.04969608828047,eyl,so,1600201736,15,76,78.57,17.72
412,-123.73899552103325,34.222937053990634,monterey,us,1600201676,1,53,91.0,10.29
413,170.93135509790756,1.0462985372899283,bairiki,ki,1600201679,40,70,84.2,16.11
417,-63.08655968683418,-27.085075620687192,santiago del estero,ar,1600201621,0,19,81.36,8.23
421,13.093065221274458,53.344179537345354,neustrelitz,de,1600201737,20,82,66.99,3.47
422,-169.27236870947402,80.82230896607726,lavrentiya,ru,1600201737,100,96,44.02,8.72
425,26.13318510415931,89.35795737550723,longyearbyen,sj,1600201737,75,95,32.0,2.24
426,-104.2590124340428,27.518563943420048,camargo,mx,1600201738,42,54,77.68,7.54
430,17.60975022344465,10.151386061178187,goundi,td,1600201738,40,92,73.35,2.15
432,-116.48658612910475,83.40435484755287,norman wells,ca,1600201739,20,56,44.6,13.87
433,-98.7415247041753,30.434894712460036,fredericksburg,us,1600201710,1,60,70.0,4.18
438,160.70291015210853,72.97977780603512,cherskiy,ru,1600201741,95,84,40.19,4.74
442,151.76674498161117,-24.936662940703528,bundaberg,au,1600201644,40,93,61.0,6.93
443,131.22038359562612,24.474574363054273,gushikawa,jp,1600201741,1,88,80.6,5.17
444,145.57562750855163,-8.511601999384538,kerema,pg,1600201742,54,88,76.73,1.41
449,20.16116468075859,48.32334189170547,rimavska sobota,sk,1600201742,65,70,61.0,3.09
452,6.280283449948655,48.17848819634372,epinal,fr,1600201742,0,53,71.6,5.82
455,-89.78563614232573,58.29293065237886,sioux lookout,ca,1600201742,90,59,60.8,6.93
457,32.71750955788815,-65.13017705727403,port elizabeth,za,1600201743,38,77,59.0,9.17
458,170.4691911545578,-9.80078971767675,lata,sb,1600201743,13,88,69.01,4.7
459,-27.049110095175877,-13.065937012706627,sao jose da coroa grande,br,1600201743,78,81,75.97,10.76
462,41.347196428448825,-9.787534339535028,madimba,tz,1600201743,20,83,75.2,6.22
467,38.89171216739004,19.60211695436051,sawakin,sd,1600201743,0,63,89.02,5.44
468,76.82178464814257,46.914548881602485,balkhash,kz,1600201744,50,52,66.9,15.43
469,142.91840468311125,69.5959058738483,deputatskiy,ru,1600201744,51,98,31.17,3.98
470,-147.5786271174108,-15.450320066465352,tiarei,pf,1600201744,20,69,80.6,6.93
471,17.2094554015479,-18.926523457304384,tsumeb,na,1600201511,0,22,69.03,17.85
473,43.860323158638124,-9.503126678539687,mitsamiouli,km,1600201744,1,74,76.46,5.88
476,109.02827825641378,56.65913994930088,nizhneangarsk,ru,1600201745,74,85,43.99,0.72
478,160.9242754183868,59.16797190306468,palana,ru,1600201745,20,95,41.72,4.14
479,110.0799772847447,3.1961923515566184,kuching,my,1600201745,40,100,73.4,3.36
485,87.13812537900128,10.895243060520556,port blair,in,1600201746,98,77,82.24,12.39
488,154.61681975289423,-17.410399791851532,mackay,au,1600201746,75,88,68.0,18.34
490,-41.28633735466906,14.565531901454293,cayenne,gf,1600201746,50,70,84.2,8.05
491,121.26270443924966,44.16295579878488,tongliao,cn,1600201746,72,93,56.19,11.23
492,119.16960541007404,-23.92889385470204,port hedland,au,1600201348,88,68,69.8,6.93
496,92.68616624694772,69.25740970252329,talnakh,ru,1600201747,100,66,55.4,11.18
502,152.84885175309728,20.543445807602026,katsuura,jp,1600201747,75,88,73.99,10.29
503,156.79963255603116,-27.63230634873357,byron bay,au,1600201347,17,100,55.99,3.36
506,-11.912558869490596,68.41129471806968,hofn,is,1600201747,0,61,49.96,7.16
508,65.12554218260189,11.685219201318802,kavaratti,in,1600201748,64,82,81.27,17.58
510,-53.36561969920136,-21.166156868155184,ribas do rio pardo,br,1600201748,0,10,99.55,10.31
514,94.7079015090406,2.445059221264387,meulaboh,id,1600201748,100,84,76.46,3.36
518,107.60148147980851,58.08108695454047,kirensk,ru,1600201748,13,88,42.75,4.0
519,31.044129025406505,-14.511134440788823,nyimba,zm,1600201749,62,29,80.19,7.83
522,-86.07049107896033,-13.238530518883437,huarmey,pe,1600201749,21,68,66.79,10.2
526,-19.550953408430985,8.637939420167697,bubaque,gw,1600201749,61,85,80.91,14.45
528,35.84575439282338,46.765918060446324,novovasylivka,ua,1600201749,0,53,69.08,7.85
530,145.33465425527305,-36.75009711277193,kyabram,au,1600201750,100,76,45.0,5.99
531,103.3919511571716,27.144707347484058,zhaotong,cn,1600201750,100,93,57.72,3.11
532,34.832136531480614,37.75619416450904,nigde,tr,1600201750,0,66,57.78,2.68
533,154.13431369521584,64.27800631429525,seymchan,ru,1600201750,47,77,39.51,4.54
536,133.70889890849185,-52.16432752224817,portland,au,1600201327,90,60,75.0,3.36
540,17.11461038779123,24.590906132565223,marzuq,ly,1600201751,0,45,82.62,4.83
541,-68.73569964579556,-24.77380590812865,taltal,cl,1600201751,22,59,61.61,6.04
542,66.57230923050267,29.481098525097053,mastung,pk,1600201751,99,51,68.95,4.63
544,87.02428395899534,72.6201016855874,kayerkan,ru,1600201751,99,66,55.4,11.18
548,-50.94986565283463,2.610923639533155,amapa,br,1600201752,53,41,91.76,3.2
549,125.62032900237921,16.70029272538956,pandan,ph,1600201752,100,82,82.13,13.15
551,-72.68856160338645,1.4998010942889124,calamar,co,1600201752,75,94,82.4,3.36
553,-55.651851272868186,-3.097393879196062,juruti,br,1600201752,100,32,96.08,4.27
554,-31.751348175344617,47.19195843430518,lagoa,pt,1600201752,46,65,65.68,18.21
555,164.37774948957355,-29.31176731986934,vao,nc,1600201753,10,76,68.34,22.62
556,-114.73157621442616,36.4614721843605,sunrise manor,us,1600201753,1,10,98.6,4.7
558,62.95828282704184,21.99335823350563,gwadar,pk,1600201753,62,67,82.99,6.17
559,82.70801034571241,21.19788542811726,basna,in,1600201753,87,88,78.01,4.56
565,45.848588856165264,-14.490678032015154,mahajanga,mg,1600201754,20,83,71.6,2.24
566,-41.58219600444315,-36.729835241499515,cidreira,br,1600201526,100,73,59.92,22.03
567,-61.23302329723353,-41.35454093876886,viedma,ar,1600201754,86,43,60.01,1.99
570,178.9584415202968,63.9306809638739,beringovskiy,ru,1600201754,100,91,46.76,10.09
571,144.42713742801823,-39.12926205271282,leopold,au,1600201754,100,100,48.0,1.12
